2311	102	4	9.74
102	3833	3	8.95
4537	216	3	30.78
102	7547	5	31.27
5592	101	7	44.7
350	85	7	27.81
102	6096	3	12.62
101	2494	6	20.44
178	1173	4	27.67
151	120	22	27.31
927	103	6	11.47
12	7644	3	10.56
105	6776	3	19.16
11384	12	3	14.19
5619	1984	4	69.2
59	115	50	60.82
105	211	65	244.93
101	1690	4	7.04
1779	12	8	17.94
128	202	7	9.56
7543	125	5	50
208	1642	3	22.99
2825	14	7	18.72
5090	14	3	6.63
110	118	167	398.2
173	3436	3	25.77
4764	101	3	9.88
102	15344	3	21.98
839	146	3	12.59
748	12	34	118.41
2782	104	3	9.57
120	3663	3	17.41
112	203	13	16.81
9266	101	3	17.27
228	12	29	8.78
137	426	4	11.41
7684	103	6	47.26
399	148	3	7.97
117	1020	4	14.03
647	16	3	6.75
232	105	8	4.25
119	1051	4	14.28
120	668	21	129.34
463	12	11	4.72
5270	14	4	11.42
397	136	4	10.78
308	161	3	7.65
2109	12	4	5.3
102	249	22	17.83
104	1036	5	10.7
7345	125	3	24.94
2835	624	3	36.37
102	2491	4	10.52
101	1996	7	22.62
605	103	6	6.68
1327	135	5	28.77
244	202	5	19.5
16	285	14	43.48
1091	187	4	28.22
8	742	9	46.47
9	103	132	141.65
302	2419	3	29.49
108	8928	3	22.2
101	482	9	7.66
190	526	3	14.74
12	5095	3	7.69
190	789	3	17.54
821	130	7	36.16
10	10	3	28.65
101	2951	6	22.8
7463	12	4	17.34
4429	101	3	9.88
140	747	8	44.59
117	750	63	609.68
117	6421	4	31.69
137	189	6	8.01
502	146	3	9.12
1345	535	3	30.4
327	138	4	8.72
136	1201	3	13.68
134	415	3	6.51
162	212	4	8.08
137	162	7	6.19
106	775	6	18.09
6975	6177	3	60.29
1898	101	4	7.82
115	2028	4	18.51
494	116	5	11.57
108	806	19	106.64
196	201	3	6.69
828	14	9	7.06
7181	14	5	23.73
3533	113	8	62.15
676	122	8	33.81
109	3246	3	14.56
3380	12	3	5.06
2373	103	3	7.39
10529	124	3	28.58
10948	14	3	13.03
169	272	5	17.77
2382	103	4	12.12
612	127	3	8.03
194	295	3	10.37
13218	107	3	28.81
102	1094	12	37.44
697	9	11	59.93
1299	14	14	33.96
104	2727	4	15.15
2427	12	5	9.89
123	627	9	41.77
244	2871	3	28.88
689	117	5	15.46
109	9991	3	24.44
2533	125	5	33.6
2944	12	3	4.35
102	1740	3	4.21
104	1461	4	9.61
219	460	4	22.65
1840	109	3	10.48
549	911	3	28.01
189	123	7	7.3
101	505	58	272.15
104	1645	4	10.55
1106	137	3	13.16
12	139	105	20.87
274	326	14	111.8
122	13321	3	31.67
115	889	3	7.13
1721	413	3	30.2
109	706	4	8.67
271	13778	3	45.43
435	127	3	5.87
8135	101	3	15.09
3387	125	3	18.77
379	116	12	39.74
8	2703	7	54.37
101	231	72	185.35
104	1915	4	11.66
6488	341	3	37.96
386	123	3	4.57
311	199	3	10.77
104	3558	3	11.24
102	1946	8	28.15
155	380	4	13.91
8525	12	4	19.89
339	204	5	24.81
493	839	5	49.91
153	177	5	6.55
3176	141	3	20.21
5009	8465	3	59.98
103	2633	3	8
101	4088	5	21.36
127	765	6	27.07
177	110	13	10.64
214	185	3	6.64
124	1346	8	50.29
