627	487	5	18.5
8	304	48	66.15
1288	4167	3	27.57
692	160	11	21.9
182	215	16	9.15
11303	103	4	10.23
3334	104	8	7.73
125	2649	5	7.99
17	335	3	7.55
12	3025	15	21.45
9416	10125	3	52.26
104	1227	17	9.03
6896	161	3	13.83
4537	216	3	14.12
482	229	6	9.05
102	7547	6	12.88
5592	101	8	16.94
350	85	17	16.99
127	7593	3	8.91
4054	505	3	21.01
1433	2190	3	23.67
101	2494	12	7.61
12	392	106	33.97
3457	147	4	9.78
124	645	12	7.44
7977	16	3	8.54
178	1173	5	10.13
11331	108	3	8.24
812	232	6	15.65
2979	102	11	7.93
585	487	3	7.86
1026	215	4	8.28
554	202	6	8.25
151	120	133	25.46
4807	102	8	11.73
105	6776	4	7.89
12	7644	6	8.58
5619	1984	6	78.22
217	286	10	10.51
126	500	24	28.35
59	115	235	7.69
105	211	120	53.09
1779	12	23	15.61
221	1488	3	7.11
2163	206	3	8.77
3248	139	4	8.62
103	8	591	40.26
155	5298	3	11.07
114	11145	4	17.55
12	5999	6	8.58
7543	125	6	33.07
6098	104	7	20.8
1466	293	4	14.89
128	6763	3	8.9
208	1642	3	6.81
520	6846	6	68.33
1835	143	5	7.8
1413	230	4	11.86
8	5631	3	7.21
2562	127	6	11.64
6824	6823	6	114.21
261	409	8	17.01
3866	149	3	7.16
134	210	34	7.51
135	589	15	17.95
163	1741	5	12.18
110	118	435	28.17
6541	59	3	8
1185	161	5	7.92
170	2514	4	12.95
173	3436	5	22.26
4764	101	8	8.63
367	2440	3	14.55
1071	307	3	8
5125	104	7	12.29
5161	142	3	7.71
203	6489	3	16.06
437	1589	4	20.04
593	118	17	7.67
6051	218	3	17.35
7526	8	3	9.24
562	589	3	8.74
4347	911	3	25.11
119	1679	8	8.44
14331	115	3	13.04
748	12	55	27.88
503	1736	3	14.9
571	860	4	17.5
108	4053	5	7.23
407	106	31	8.89
109	2370	7	6.81
228	12	220	24.6
671	135	10	8
709	158	8	10.51
7684	103	6	15.35
907	456	3	10.23
117	1020	11	7.65
4283	107	6	11.34
120	668	32	61.04
140	1013	7	6.64
120	3028	5	6.67
114	3820	5	7.29
463	12	72	6.96
140	4227	4	10.85
112	3197	6	8.01
134	3987	4	9.36
1288	9577	4	54.03
11716	11715	3	61.26
6029	127	3	7.79
4160	101	8	8.63
903	725	4	20.31
271	828	6	19.53
208	3884	3	12.31
153	410	13	10.63
446	597	3	7.34
4567	1321	6	67.95
4148	104	7	8.43
147	10853	3	14.87
2071	195	3	7.91
104	1036	21	9.85
102	249	142	21.34
105	653	22	7.28
159	335	21	30.51
2190	339	3	13.41
