744	1
19309	2
18425	3
19130	4
10637	5
22932	6
27136	7
26662	8
8981	9
25159	10
27954	11
15473	12
9094	13
27312	14
15390	15
22354	16
2110	17
4196	18
7932	19
17993	20
6449	21
7410	22
780	23
13644	24
21804	25
17105	26
8890	27
9794	28
29284	29
15948	30
13655	31
12349	32
23384	33
21719	34
27501	35
21787	36
824	37
8611	38
24432	39
23695	40
19467	41
9174	42
18988	43
10635	44
1613	45
23991	46
27225	47
14344	48
10337	49
14750	50
5215	51
5796	52
2388	53
24009	54
29318	55
22395	56
23487	57
3303	58
24017	59
19066	60
17662	61
8796	62
5270	63
25855	64
16112	65
22661	66
4313	67
7082	68
13803	69
27793	70
9743	71
28464	72
21131	73
6201	74
14446	75
4797	76
1039	77
12551	78
10292	79
11995	80
600	81
12919	82
19354	83
2854	84
10371	85
2694	86
15954	87
9021	88
1972	89
13405	90
17153	91
15958	92
9548	93
22899	94
16051	95
985	96
27541	97
6795	98
16682	99
387	100
19472	101
5760	102
12789	103
20340	104
28760	105
15804	106
146	107
21910	108
11706	109
19261	110
1651	111
19285	112
323	113
11729	114
26499	115
28442	116
10597	117
23576	118
6174	119
6666	120
12798	121
14165	122
23174	123
19780	124
4832	125
24145	126
1449	127
12328	128
24220	129
3301	130
26293	131
244	132
1926	133
7237	134
24701	135
4373	136
21050	137
12671	138
8962	139
4281	140
26948	141
10575	142
4584	143
15943	144
26433	145
15558	146
23770	147
18122	148
15937	149
13188	150
18500	151
3673	152
18245	153
5399	154
15654	155
23960	156
13001	157
6869	158
22701	159
5007	160
19350	161
21885	162
16102	163
14264	164
16567	165
9228	166
3970	167
24561	168
7363	169
17034	170
28125	171
5383	172
17435	173
26006	174
11592	175
1863	176
14357	177
24900	178
14348	179
9147	180
17175	181
16530	182
13167	183
818	184
14115	185
3148	186
17946	187
17567	188
4874	189
26500	190
11161	191
17535	192
27311	193
8267	194
26886	195
216	196
21592	197
17451	198
26447	199
8636	200
1426	201
23748	202
24792	203
13259	204
323	205
4372	206
19625	207
22079	208
10120	209
8899	210
14577	211
23248	212
10119	213
4776	214
17873	215
28072	216
21749	217
24858	218
17212	219
16282	220
13041	221
12575	222
24107	223
12824	224
2362	225
28605	226
22400	227
28182	228
1599	229
18037	230
21737	231
23690	232
6027	233
29309	234
822	235
297	236
28275	237
23994	238
6942	239
25615	240
11823	241
11494	242
29131	243
2305	244
26885	245
8261	246
1082	247
9090	248
24198	249
13239	250
263	251
21535	252
22651	253
22060	254
13331	255
14120	256
529	257
29073	258
2544	259
18307	260
7987	261
21653	262
1336	263
26362	264
20953	265
13113	266
15816	267
282	268
5122	269
2228	270
297	271
7547	272
29108	273
12299	274
21189	275
20676	276
10792	277
5729	278
19108	279
13555	280
27681	281
17885	282
8574	283
27270	284
7190	285
17009	286
22951	287
23365	288
22436	289
22543	290
27872	291
1868	292
8440	293
4661	294
20453	295
1799	296
2367	297
21756	298
2122	299
18111	300
14899	301
295	302
14835	303
27606	304
10307	305
12184	306
603	307
3979	308
4065	309
4885	310
15452	311
1156	312
24915	313
10133	314
15620	315
15898	316
8413	317
101	318
591	319
6559	320
20441	321
27573	322
11333	323
20016	324
18262	325
8822	326
27373	327
24550	328
14604	329
2209	330
1726	331
24325	332
24887	333
16433	334
7469	335
26623	336
8801	337
23660	338
23602	339
4538	340
626	341
1838	342
25603	343
6380	344
10378	345
17988	346
12998	347
2774	348
27902	349
6229	350
13955	351
13822	352
365	353
2717	354
10625	355
673	356
11846	357
30	358
21892	359
4379	360
10706	361
18574	362
1251	363
25508	364
26893	365
4954	366
4038	367
17640	368
11208	369
27995	370
21794	371
23541	372
397	373
28112	374
12672	375
28075	376
24011	377
20609	378
29096	379
12737	380
17780	381
7281	382
5885	383
14846	384
28484	385
23112	386
5867	387
8337	388
2570	389
1471	390
17574	391
8836	392
23942	393
15109	394
22251	395
1124	396
29151	397
4109	398
19206	399
13315	400
8479	401
28990	402
6009	403
4329	404
19418	405
16523	406
25216	407
13148	408
10348	409
27441	410
15016	411
952	412
24741	413
16918	414
4447	415
28678	416
19716	417
21983	418
13200	419
17611	420
2670	421
24769	422
17015	423
5267	424
1994	425
25139	426
28658	427
27090	428
9405	429
27845	430
9444	431
13477	432
909	433
25988	434
16361	435
25138	436
9270	437
25314	438
29555	439
27011	440
13643	441
24398	442
23777	443
16749	444
24142	445
5566	446
28176	447
21876	448
25103	449
12378	450
11026	451
801	452
12027	453
29061	454
1159	455
29522	456
23417	457
11742	458
16207	459
527	460
8600	461
11747	462
23954	463
15387	464
20021	465
11100	466
4530	467
11996	468
1278	469
15070	470
25290	471
27943	472
11598	473
13217	474
17708	475
15414	476
579	477
23438	478
24443	479
11496	480
12711	481
20124	482
12931	483
18578	484
10106	485
28380	486
24167	487
11069	488
16657	489
6266	490
1848	491
11908	492
29532	493
15215	494
23868	495
18695	496
25983	497
16538	498
23647	499
23618	500
15043	501
15062	502
13852	503
18297	504
18730	505
4987	506
12844	507
28969	508
18160	509
23909	510
23507	511
6856	512
19056	513
22823	514
14191	515
2690	516
3347	517
2940	518
531	519
6227	520
16413	521
10860	522
24246	523
21379	524
4405	525
4288	526
19105	527
25145	528
22689	529
27719	530
17076	531
2832	532
9068	533
25945	534
20463	535
7006	536
5543	537
13546	538
13807	539
232	540
7179	541
26014	542
21318	543
6961	544
21628	545
3231	546
23373	547
17725	548
22934	549
17697	550
6165	551
21854	552
7318	553
5800	554
10121	555
18453	556
14135	557
8776	558
5202	559
714	560
23634	561
22776	562
28247	563
17326	564
16365	565
28148	566
21074	567
23010	568
13053	569
26350	570
27677	571
4255	572
19367	573
12136	574
26043	575
21203	576
17744	577
24287	578
14273	579
7001	580
17511	581
19916	582
26299	583
1048	584
14721	585
138	586
2078	587
16039	588
2249	589
10994	590
20956	591
26318	592
13080	593
1238	594
18133	595
8423	596
11006	597
28970	598
19578	599
21880	600
24058	601
29404	602
18708	603
15197	604
8400	605
15878	606
12058	607
18997	608
6408	609
17803	610
17023	611
28133	612
25469	613
242	614
6420	615
28193	616
28059	617
25338	618
1284	619
4134	620
28987	621
12214	622
18935	623
18013	624
17937	625
17229	626
28973	627
10541	628
22829	629
10366	630
26638	631
18355	632
23363	633
21959	634
20379	635
11209	636
1998	637
29503	638
5617	639
20520	640
26461	641
24021	642
29335	643
13075	644
1582	645
21257	646
26577	647
26650	648
3308	649
269	650
2813	651
29283	652
5175	653
15494	654
25202	655
25851	656
9576	657
9434	658
13424	659
22017	660
14715	661
13683	662
1699	663
5940	664
2882	665
6845	666
16399	667
20887	668
7045	669
24824	670
17038	671
24221	672
16748	673
29261	674
7723	675
5934	676
25758	677
5855	678
6313	679
2378	680
13738	681
3489	682
3411	683
28361	684
4199	685
12790	686
24813	687
15684	688
22515	689
10552	690
13198	691
2134	692
17050	693
8881	694
29088	695
14033	696
743	697
15454	698
27462	699
12315	700
13698	701
10494	702
24991	703
19491	704
23679	705
21615	706
2347	707
1896	708
20868	709
9786	710
2175	711
14159	712
26018	713
4274	714
589	715
10100	716
3185	717
15175	718
21789	719
7812	720
15727	721
7517	722
28946	723
6580	724
28572	725
23779	726
18696	727
15061	728
9263	729
773	730
12336	731
21005	732
19663	733
29538	734
25861	735
18305	736
12967	737
24239	738
11744	739
16871	740
16504	741
17842	742
20347	743
23772	744
3433	745
5933	746
19588	747
22561	748
22613	749
8481	750
18366	751
5369	752
20914	753
24646	754
13045	755
24387	756
18144	757
217	758
19348	759
1712	760
4041	761
5516	762
26615	763
10308	764
3562	765
21612	766
16594	767
25257	768
3398	769
25356	770
11225	771
27607	772
21571	773
17158	774
12398	775
28325	776
63	777
8085	778
23789	779
23837	780
12552	781
726	782
27682	783
5920	784
8329	785
10696	786
1560	787
5112	788
25108	789
10546	790
18493	791
25662	792
15160	793
684	794
7090	795
967	796
17610	797
403	798
5465	799
1898	800
25571	801
26938	802
24454	803
16160	804
15365	805
7917	806
24659	807
5753	808
15753	809
19971	810
389	811
14226	812
15257	813
18868	814
10677	815
10314	816
29547	817
8260	818
27486	819
731	820
25792	821
9501	822
17923	823
17496	824
11120	825
9259	826
15899	827
27523	828
11468	829
3224	830
24157	831
16297	832
14452	833
22952	834
1547	835
22490	836
79	837
22739	838
8047	839
9779	840
1388	841
21669	842
7414	843
27565	844
14787	845
19024	846
4096	847
13410	848
18555	849
25621	850
10996	851
24826	852
19201	853
26005	854
2671	855
14361	856
253	857
18800	858
1170	859
1200	860
25050	861
18300	862
24047	863
20056	864
8911	865
9698	866
22339	867
15805	868
22164	869
7236	870
17102	871
21633	872
15760	873
797	874
4508	875
15432	876
17801	877
6277	878
14603	879
20317	880
13906	881
9323	882
3501	883
20854	884
17465	885
10817	886
11508	887
16257	888
4406	889
4518	890
10956	891
5741	892
17887	893
28601	894
21677	895
4904	896
25860	897
3987	898
12209	899
11339	900
14707	901
29204	902
113	903
22336	904
2582	905
24692	906
29224	907
4170	908
18771	909
29242	910
19655	911
22229	912
5130	913
14966	914
24304	915
12641	916
20127	917
16755	918
18195	919
17445	920
486	921
19459	922
24647	923
17601	924
4921	925
22544	926
20754	927
20730	928
15155	929
23949	930
9694	931
1452	932
23177	933
7969	934
15066	935
19243	936
5522	937
12485	938
22197	939
4242	940
25892	941
17126	942
10863	943
10075	944
16402	945
16149	946
23735	947
10367	948
25205	949
17378	950
494	951
26774	952
20711	953
12660	954
3874	955
28693	956
12149	957
2514	958
21914	959
27633	960
18704	961
15742	962
9004	963
3168	964
11743	965
18668	966
27550	967
21171	968
11482	969
9768	970
10794	971
15834	972
4309	973
24600	974
26946	975
14024	976
16325	977
23746	978
20524	979
17216	980
11017	981
4606	982
14659	983
8357	984
23696	985
685	986
12	987
21555	988
19947	989
23372	990
5825	991
9832	992
21556	993
11513	994
12821	995
8530	996
23374	997
16821	998
13609	999
11032	1000
19951	1001
9290	1002
29436	1003
4917	1004
20812	1005
20641	1006
20262	1007
8055	1008
14486	1009
15092	1010
23720	1011
4962	1012
14414	1013
20151	1014
5561	1015
25964	1016
14491	1017
7756	1018
24267	1019
573	1020
5041	1021
21184	1022
16470	1023
20378	1024
18584	1025
2887	1026
23183	1027
25098	1028
23160	1029
29229	1030
4993	1031
21172	1032
15876	1033
9912	1034
25297	1035
3921	1036
668	1037
24277	1038
28926	1039
3082	1040
27654	1041
19095	1042
505	1043
28776	1044
23113	1045
16134	1046
21077	1047
5284	1048
20412	1049
4544	1050
18735	1051
8547	1052
12245	1053
27200	1054
5481	1055
10023	1056
24551	1057
27881	1058
10537	1059
5273	1060
6797	1061
325	1062
28669	1063
11990	1064
1528	1065
26107	1066
16981	1067
24579	1068
17365	1069
9880	1070
13730	1071
6401	1072
26232	1073
22312	1074
24372	1075
8589	1076
5635	1077
14746	1078
24829	1079
8309	1080
7301	1081
19585	1082
5707	1083
23692	1084
23208	1085
25670	1086
22502	1087
20148	1088
440	1089
20909	1090
17667	1091
20479	1092
7777	1093
7675	1094
9431	1095
2235	1096
3333	1097
25442	1098
22494	1099
25153	1100
14709	1101
20193	1102
22820	1103
24655	1104
16544	1105
5304	1106
21252	1107
14648	1108
23305	1109
5263	1110
25224	1111
13097	1112
7953	1113
27715	1114
24411	1115
22061	1116
23711	1117
10161	1118
19374	1119
5784	1120
27112	1121
9330	1122
12192	1123
5527	1124
12290	1125
13248	1126
911	1127
3537	1128
14409	1129
21231	1130
6066	1131
1787	1132
26444	1133
3728	1134
29040	1135
23989	1136
19533	1137
12617	1138
9732	1139
2912	1140
18819	1141
