0,1,2,3,4,0,1,2,3,4
Portugal,Engineering & Electronics  (Erasmus+),"Computing, Media Technology","Portuguese,",Aug - Dec,Portugal,Engineering & Electronics  (Erasmus+),"Computing, Media Technology",possibly English,Aug - Dec
Portugal,Engineering & Electronics  (Erasmus+),"Computing, Media Technology",possibly English,Aug - Dec,Portugal,"Business, Tourism (Erasmus+)","Computing, Media Technology",Portuguese,Aug - Dec
Portugal,"Business, Tourism (Erasmus+)","Computing, Media Technology",Portuguese,Aug - Dec,Portugal,"Business, Tourism (Erasmus+)","Computing, Media Technology","Portuguese,",Aug - Dec
Portugal,"Business, Tourism (Erasmus+)","Computing, Media Technology","Portuguese,",Aug - Dec,Portugal,"Business, Computer Science (Erasmus+)","Computing, Media Technology","Portuguese,",Aug - Dec
Portugal,"Business, Computer Science (Erasmus+)","Computing, Media Technology","Portuguese,",Aug - Dec,Portugal,"Business, Computer Science (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Portugal,"Business, Computer Science (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Portugal,"Tourism, ICT (Erasmus+)","Computing, Media Technology","Portuguese,",Aug - Dec
Portugal,"Tourism, ICT (Erasmus+)","Computing, Media Technology","Portuguese,",Aug - Dec,Portugal,"Tourism, ICT (Erasmus+)","Computing, Media Technology",(English),Aug - Dec
Portugal,"Tourism, ICT (Erasmus+)","Computing, Media Technology",(English),Aug - Dec,Romania,Business (Erasmus+),"Computing, Media Technology","German, English",Aug - Dec
Romania,Business (Erasmus+),"Computing, Media Technology","German, English",Aug - Dec,Romania,"Business, Economics, Engineering","Computing, Media Technology","Romanian,",Aug - Dec
Romania,"Business, Economics, Engineering","Computing, Media Technology","Romanian,",Aug - Dec,Romania,"Business, Economics, Engineering","Computing, Media Technology",English,Aug - Dec
Romania,"Business, Economics, Engineering","Computing, Media Technology",English,Aug - Dec,Romania,"Engineering,  Electrical Eng. (in German!)","Computing, Media Technology",English,Aug - Dec
Romania,"Engineering,  Electrical Eng. (in German!)","Computing, Media Technology",English,Aug - Dec,Romania,"Engineering,  Electrical Eng. (in German!)","Computing, Media Technology","English, German",Aug - Dec
Romania,"Engineering,  Electrical Eng. (in German!)","Computing, Media Technology","English, German",Aug - Dec,Romania,Engineering (Erasmus+),"Computing, Media Technology","English, German",Aug - Dec
Romania,Engineering (Erasmus+),"Computing, Media Technology","English, German",Aug - Dec,Russia,Business,"Computing, Media Technology",English,Aug - Dec
Russia,Business,"Computing, Media Technology",English,Aug - Dec,Russia,Electrical Engineering (BA/MA),"Computing, Media Technology",English,Aug - Dec
Russia,Electrical Engineering (BA/MA),"Computing, Media Technology",English,Aug - Dec,Russia,Medical Informatics (Erasmus+ KA171),"Computing, Media Technology",English,Aug - Dec
Russia,Medical Informatics (Erasmus+ KA171),"Computing, Media Technology",English,Aug - Dec,Russia,"Business, Engineering","Computing, Media Technology",English,Aug - Dec
Russia,"Business, Engineering","Computing, Media Technology",English,Aug - Dec,Slovakia,"Business, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Slovakia,"Business, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Slovakia,Tourism,"Computing, Media Technology",English,Aug - Dec
Slovakia,Tourism,"Computing, Media Technology",English,Aug - Dec,Slovakia,"Informatics, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Slovakia,"Informatics, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Slovakia,"ICT, Engineering & Eng. Trades","Computing, Media Technology",English,Aug - Dec
Slovakia,"ICT, Engineering & Eng. Trades","Computing, Media Technology",English,Aug - Dec,Slovenia,Master Electrical Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Slovenia,Master Electrical Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Slovenia,Tourism (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Slovenia,Tourism (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Slovenia,"Media Technology, Tourism, Engineering","Computing, Media Technology",English,Aug - Dec
Slovenia,"Media Technology, Tourism, Engineering","Computing, Media Technology",English,Aug - Dec,Spain,"Media Technology, Tourism, Engineering","Computing, Media Technology",Spanish,Aug - Dec
Spain,"Media Technology, Tourism, Engineering","Computing, Media Technology",Spanish,Aug - Dec,Spain,"Business, Tourism (Erasmus+)","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Business, Tourism (Erasmus+)","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Business, Tourism (engl.), Media","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Business, Tourism (engl.), Media","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Tourism, Business, Engineering,","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Tourism, Business, Engineering,","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Engineering, Engineering Trades","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Engineering, Engineering Trades","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Health, Engineering, ICT (Erasmus+)","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Health, Engineering, ICT (Erasmus+)","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Economic, Business, Media Production/ -","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Economic, Business, Media Production/ -","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Economic, Business, Media Production/ -","Computing, Media Technology",Spanish,Aug - Dec
Spain,"Economic, Business, Media Production/ -","Computing, Media Technology",Spanish,Aug - Dec,Spain,"Civil Engineering, Environmental Studies,","Computing, Media Technology",Spanish,Aug - Dec
Spain,"Civil Engineering, Environmental Studies,","Computing, Media Technology",Spanish,Aug - Dec,Spain,"Civil Engineering, Environmental Studies,","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Civil Engineering, Environmental Studies,","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Business, Tourism, Health Informatics","Computing, Media Technology","Spanish, possibly",Aug - Dec
Spain,"Business, Tourism, Health Informatics","Computing, Media Technology","Spanish, possibly",Aug - Dec,Spain,"Business, Tourism, Health Informatics","Computing, Media Technology",English,Aug - Dec
Spain,"Business, Tourism, Health Informatics","Computing, Media Technology",English,Aug - Dec,Spain,"Tourism, Business, Engineering, Media","Computing, Media Technology",English,Aug - Dec
Spain,"Tourism, Business, Engineering, Media","Computing, Media Technology",English,Aug - Dec,Spain,"Technology, Environmental Engineering","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Technology, Environmental Engineering","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,(Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec
Spain,(Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Business, Engineering (Erasmus+)","Computing, Media Technology","Spanish, English",Aug - Dec
Spain,"Business, Engineering (Erasmus+)","Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Business, Engineering, Tourism","Computing, Media Technology","Spanish, possibly",Aug - Dec
Spain,"Business, Engineering, Tourism","Computing, Media Technology","Spanish, possibly",Aug - Dec,Spain,"Business, Engineering, Tourism","Computing, Media Technology",English,Aug - Dec
Spain,"Business, Engineering, Tourism","Computing, Media Technology",English,Aug - Dec,Spain,Tourism (Erasmus+),"Computing, Media Technology",Spanish,Aug - Dec
Spain,Tourism (Erasmus+),"Computing, Media Technology",Spanish,Aug - Dec,Spain,"Business, Engineering, Electronics","Computing, Media Technology","Spanish, possibly",Aug - Dec
Spain,"Business, Engineering, Electronics","Computing, Media Technology","Spanish, possibly",Aug - Dec,Spain,"Business, Engineering, Electronics","Computing, Media Technology",English,Aug - Dec
Spain,"Business, Engineering, Electronics","Computing, Media Technology",English,Aug - Dec,Spain,"IT, Tourism, Business, Psychology","Computing, Media Technology","Spanish, possibly",Aug - Dec
Spain,"IT, Tourism, Business, Psychology","Computing, Media Technology","Spanish, possibly",Aug - Dec,Spain,"IT, Tourism, Business, Psychology","Computing, Media Technology",English,Aug - Dec
Spain,"IT, Tourism, Business, Psychology","Computing, Media Technology",English,Aug - Dec,Spain,Electronics & Automation (Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec
Spain,Electronics & Automation (Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec,Spain,"Business, Tourism (Erasmus+)","Computing, Media Technology",Spanish,Aug - Dec
Spain,"Business, Tourism (Erasmus+)","Computing, Media Technology",Spanish,Aug - Dec,Spain,Business (Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec
Spain,Business (Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec,Sweden,Business (Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec
Sweden,Business (Erasmus+),"Computing, Media Technology","Spanish, English",Aug - Dec,Sweden,ICT (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Sweden,ICT (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Sweden,"Engineering, Computer Science","Computing, Media Technology",English,Aug - Dec
Sweden,"Engineering, Computer Science","Computing, Media Technology",English,Aug - Dec,Sweden,"Engineering, Computer Science","Computing, Media Technology","German, English,",Aug - Dec
Sweden,"Engineering, Computer Science","Computing, Media Technology","German, English,",Aug - Dec,Switzerland,Angewandte Trainingswissenschaften,"Computing, Media Technology","German, English,",Aug - Dec
Switzerland,Angewandte Trainingswissenschaften,"Computing, Media Technology","German, English,",Aug - Dec,Switzerland,Angewandte Trainingswissenschaften,"Computing, Media Technology",French,Aug - Dec
